bm16_name,bm16_type,bo19_name
age_class,character,age_class_label
alive,numeric,alive
beach_length,numeric,beach_length_km
beach_segment_code,character,beach_segment_code
beach_segment_name,character,beach_segment_name
bird_or_mammal,character,bird_or_mammal
carcass_present,numeric,carcass_present
cause_of_death,numeric,cause_of_death
condition,numeric,condition
datum,logical,datum
external_findings,logical,external_findings
latitude,numeric,latitude
longitude,numeric,longitude
north_latitude,numeric,north_latitude
north_longitude,numeric,north_longitude
notes,character,notes
percent_of_beach_surveyed,numeric,percent_of_beach_surveyed
photo_code,logical,photo_code
photos,character,photos
sex,character,sex
south_latitude,numeric,south_latitude
south_longitude,numeric,south_longitude
species_code,character,species_code
species_common_name,character,species_common_name
species_genus,logical,species_genus
species_itis,numeric,species_itis
species_sci_name,character,species_sci_name
standard_length,numeric,standard_length_m
time,"POSIXct,POSIXt",time
unique_carcass_identifier,numeric,unique_carcass_identifier
unique_survey_identifier,character,unique_survey_identifier